Logistics cost — FY2026 (draft) — do not circulate,,,,,,,,
,,,,,,,,
Carrier Code,Lane,Fiscal Week,Ship Date,freight_cost,Fuel Surcharge,Accessorials,Unnamed: 7,Notes
MWLG,LANE-27,FY2025-W45,09/12/2025,"4.133,26",,"160,08",,"lane closed for two days, volume moved"
MWLG,LANE-28,FY2025-W45,09/12/2025,"5.008,04",,"52,18",,
MWLG,LANE-28,FY2025-W45,08/12/2025,"9.397,28",,"272,64",,
MWLG,LANE-29,FY2025-W45,10/12/2025,"6.855,10",,"261,15",,
MWLG,LANE-29,FY2025-W45,12/12/2025,"6.364,23",,"295,85",,"estimate, invoice not received"
MWLG,LANE-30,FY2025-W45,07/12/2025,"5.500,74",,"252,57",,"re-rated, see ticket SC-1182"
MWLG,LANE-31,FY2025-W45,08/12/2025,"5.139,26",,"73,40",,
MWLG,LANE-32,FY2025-W45,09/12/2025,"3.924,53",,"5,54",,"estimate, invoice not received"
MWLG,LANE-33,FY2025-W45,08/12/2025,"411,46",,"245,29",,
MWLG,LANE-34,FY2025-W45,07/12/2025,"7.361,85",,"300,13",,
MWLG,LANE-34,FY2025-W45,10/12/2025,"5.059,71",,"241,81",,
MWLG,LANE-35,FY2025-W45,09/12/2025,"5.295,76",,"128,65",,"estimate, invoice not received"
MWLG,LANE-36,FY2025-W45,12/12/2025,"10.629,14",,"166,71",,
MWLG,LANE-37,FY2025-W45,09/12/2025,"9.619,89",,"190,56",,
MWLG,LANE-38,FY2025-W45,09/12/2025,"8.451,74",,"89,58",,
MWLG,LANE-39,FY2025-W45,12/12/2025,"4.658,24",,"326,51",,
MWLG,LANE-39,FY2025-W45,07/12/2025,"8.514,45",,"141,38",,"split shipment, one pallet held at origin"
MWLG,LANE-40,FY2025-W45,09/12/2025,"1.463,67",,"146,93",,
MWLG,LANE-41,FY2025-W45,13/12/2025,"9.590,68",,"109,13",,
MWLG,LANE-41,FY2025-W45,10/12/2025,"4.836,43",,"184,03",,"re-rated, see ticket SC-1182"
MWLG,LANE-41,FY2025-W45,12/12/2025,"4.631,16",,"242,49",,"re-rated, see ticket SC-1182"
MWLG,LANE-42,FY2025-W45,12/12/2025,"9.575,24",,"229,34",,
MWLG,LANE-42,FY2025-W45,07/12/2025,"8.605,54",,"187,51",,
MWLG,LANE-42,FY2025-W45,10/12/2025,"4.046,48",,"274,07",,
MWLG,LANE-43,FY2025-W45,10/12/2025,"360,26",,"286,80",,"re-rated, see ticket SC-1182"
MWLG,LANE-44,FY2025-W45,11/12/2025,"9.600,02",,"212,57",,
MWLG,LANE-25,FY2025-W46,20/12/2025,"4.759,75",,"71,64",,
MWLG,LANE-25,FY2025-W46,20/12/2025,"2.450,58",,"0,73",,
MWLG,LANE-25,FY2025-W46,15/12/2025,"7.881,52",,"140,24",,"lane closed for two days, volume moved"
MWLG,LANE-26,FY2025-W46,16/12/2025,"5.476,25",,"140,15",,
MWLG,LANE-27,FY2025-W46,18/12/2025,"8.424,99",,"158,72",,
MWLG,LANE-28,FY2025-W46,20/12/2025,"7.023,59",,"160,35",,
MWLG,LANE-28,FY2025-W46,15/12/2025,"615,76",,"222,93",,
MWLG,LANE-28,FY2025-W46,14/12/2025,"2.609,85",,"219,16",,
MWLG,LANE-29,FY2025-W46,17/12/2025,"825,80",,"115,90",,"re-rated, see ticket SC-1182"
MWLG,LANE-30,FY2025-W46,19/12/2025,"352,18",,"68,70",,"estimate, invoice not received"
MWLG,LANE-30,FY2025-W46,15/12/2025,"7.796,23",,"173,96",,
MWLG,LANE-30,FY2025-W46,17/12/2025,"9.052,90",,"191,19",,"residential surcharge, disputed"
MWLG,LANE-31,FY2025-W46,14/12/2025,"969,38",,"195,40",,
MWLG,LANE-32,FY2025-W46,15/12/2025,"7.458,53",,"315,52",,
MWLG,LANE-32,FY2025-W46,19/12/2025,"3.817,20",,"182,94",,
MWLG,LANE-33,FY2025-W46,19/12/2025,"1.152,53",,"214,03",,"residential surcharge, disputed"
MWLG,LANE-33,FY2025-W46,15/12/2025,"10.941,50",,"251,49",,"residential surcharge, disputed"
MWLG,LANE-34,FY2025-W46,18/12/2025,"307,59",,"250,83",,
MWLG,LANE-35,FY2025-W46,18/12/2025,"4.671,78",,"174,17",,
MWLG,LANE-36,FY2025-W46,14/12/2025,"9.326,90",,"230,88",,"split shipment, one pallet held at origin"
MWLG,LANE-36,FY2025-W46,14/12/2025,"9.021,56",,"143,62",,"lane closed for two days, volume moved"
MWLG,LANE-36,FY2025-W46,15/12/2025,"5.467,58",,"321,57",,
MWLG,LANE-36,FY2025-W46,15/12/2025,"9.688,41",,"187,33",,
MWLG,LANE-37,FY2025-W46,19/12/2025,"10.014,41",,"307,51",,"lane closed for two days, volume moved"
MWLG,LANE-37,FY2025-W46,18/12/2025,"3.142,98",,"6,58",,
MWLG,LANE-38,FY2025-W46,20/12/2025,"1.175,88",,"189,49",,
MWLG,LANE-38,FY2025-W46,19/12/2025,"6.243,46",,"326,50",,
MWLG,LANE-39,FY2025-W46,19/12/2025,"4.486,15",,"300,44",,
MWLG,LANE-40,FY2025-W46,17/12/2025,"10.853,57",,"206,21",,"lane closed for two days, volume moved"
MWLG,LANE-40,FY2025-W46,18/12/2025,"2.443,72",,"260,46",,
MWLG,LANE-41,FY2025-W46,20/12/2025,"2.638,32",,"159,56",,"re-rated, see ticket SC-1182"
MWLG,LANE-42,FY2025-W46,16/12/2025,"836,66",,"122,19",,"re-rated, see ticket SC-1182"
MWLG,LANE-43,FY2025-W46,19/12/2025,"838,16",,"263,97",,"split shipment, one pallet held at origin"
MWLG,LANE-44,FY2025-W46,15/12/2025,"1.451,27",,"145,38",,"lane closed for two days, volume moved"
MWLG,LANE-44,FY2025-W46,14/12/2025,"1.074,58",,"289,92",,"estimate, invoice not received"
MWLG,LANE-25,FY2025-W47,27/12/2025,"5.796,95",,"102,56",,
MWLG,LANE-26,FY2025-W47,26/12/2025,"10.041,45",,"80,84",,"residential surcharge, disputed"
MWLG,LANE-27,FY2025-W47,22/12/2025,"3.288,37",,"329,03",,"estimate, invoice not received"
MWLG,LANE-28,FY2025-W47,21/12/2025,"5.442,27",,"313,25",,
MWLG,LANE-29,FY2025-W47,27/12/2025,"10.494,13",,"275,20",,
MWLG,LANE-30,FY2025-W47,22/12/2025,"1.611,27",,"139,08",,
MWLG,LANE-31,FY2025-W47,27/12/2025,"765,49",,"257,91",,"split shipment, one pallet held at origin"
MWLG,LANE-32,FY2025-W47,21/12/2025,"9.225,08",,"262,49",,"split shipment, one pallet held at origin"
MWLG,LANE-32,FY2025-W47,22/12/2025,"1.073,31",,"332,56",,
MWLG,LANE-33,FY2025-W47,21/12/2025,"5.766,76",,"266,17",,carrier credit applied
MWLG,LANE-34,FY2025-W47,21/12/2025,"8.109,87",,"156,89",,
MWLG,LANE-35,FY2025-W47,25/12/2025,"10.361,93",,"195,03",,
MWLG,LANE-36,FY2025-W47,22/12/2025,"7.011,38",,"156,27",,
MWLG,LANE-37,FY2025-W47,23/12/2025,"3.996,26",,"218,37",,"re-rated, see ticket SC-1182"
MWLG,LANE-38,FY2025-W47,21/12/2025,"5.764,35",,"4,85",,carrier credit applied
MWLG,LANE-39,FY2025-W47,26/12/2025,"1.794,59",,"235,94",,
MWLG,LANE-39,FY2025-W47,23/12/2025,"6.907,00",,"223,96",,carrier credit applied
MWLG,LANE-39,FY2025-W47,25/12/2025,"8.806,47",,"206,95",,
MWLG,LANE-40,FY2025-W47,22/12/2025,"9.595,11",,"0,72",,
MWLG,LANE-41,FY2025-W47,22/12/2025,"9.629,97",,"281,49",,
MWLG,LANE-42,FY2025-W47,23/12/2025,"1.263,99",,"47,41",,"re-rated, see ticket SC-1182"
MWLG,LANE-43,FY2025-W47,22/12/2025,"11.090,26",,"135,85",,
MWLG,LANE-44,FY2025-W47,24/12/2025,"3.932,42",,"179,04",,
MWLG,LANE-25,FY2025-W48,29/12/2025,"10.024,70",,"199,16",,
MWLG,LANE-26,FY2025-W48,03/01/2026,"4.903,96",,"1,81",,
MWLG,LANE-26,FY2025-W48,29/12/2025,"5.773,40",,"285,00",,
MWLG,LANE-27,FY2025-W48,28/12/2025,"727,42",,"318,66",,carrier credit applied
MWLG,LANE-28,FY2025-W48,03/01/2026,"7.004,52",,"252,69",,"lane closed for two days, volume moved"
MWLG,LANE-29,FY2025-W48,28/12/2025,"9.662,39",,"114,22",,carrier credit applied
MWLG,LANE-30,FY2025-W48,02/01/2026,"5.827,10",,"301,35",,
MWLG,LANE-30,FY2025-W48,30/12/2025,"7.635,53",,"238,57",,"re-rated, see ticket SC-1182"
MWLG,LANE-31,FY2025-W48,02/01/2026,"3.603,31",,"130,02",,
MWLG,LANE-32,FY2025-W48,03/01/2026,"10.800,38",,"130,30",,carrier credit applied
MWLG,LANE-33,FY2025-W48,28/12/2025,"1.163,01",,"171,38",,
MWLG,LANE-34,FY2025-W48,29/12/2025,"6.353,40",,"40,17",,
MWLG,LANE-34,FY2025-W48,30/12/2025,"5.791,75",,"245,44",,
MWLG,LANE-35,FY2025-W48,02/01/2026,"7.592,20",,"127,64",,
MWLG,LANE-36,FY2025-W48,30/12/2025,"9.547,93",,"34,96",,"estimate, invoice not received"
MWLG,LANE-37,FY2025-W48,02/01/2026,"10.229,45",,"306,22",,"residential surcharge, disputed"
MWLG,LANE-38,FY2025-W48,01/01/2026,"2.276,99",,"219,83",,"split shipment, one pallet held at origin"
MWLG,LANE-39,FY2025-W48,30/12/2025,"2.352,21",,"308,42",,"lane closed for two days, volume moved"
MWLG,LANE-39,FY2025-W48,01/01/2026,"2.649,83",,"45,04",,"re-rated, see ticket SC-1182"
MWLG,LANE-40,FY2025-W48,03/01/2026,"9.432,28",,"112,98",,"residential surcharge, disputed"
MWLG,LANE-41,FY2025-W48,30/12/2025,"5.117,82",,"250,67",,
MWLG,LANE-41,FY2025-W48,02/01/2026,"8.736,43",,"74,67",,
MWLG,LANE-42,FY2025-W48,01/01/2026,"2.956,58",,"295,18",,
MWLG,LANE-43,FY2025-W48,31/12/2025,"1.965,57",,"250,44",,"estimate, invoice not received"
MWLG,LANE-44,FY2025-W48,02/01/2026,"9.799,81",,"290,18",,
MWLG,Subtotal,FY2025-P11,,"760.151,87",,"25.717,45",,
Carrier Code,Lane,Fiscal Week,Ship Date,freight_cost,Fuel Surcharge,Accessorials,Unnamed: 7,Notes
BRFR,LANE-03,FY2025-W49,10/01/2026,"11.137,88",,"140,84",,"lane closed for two days, volume moved"
BRFR ,LANE-04,FY2025-W49,08/01/2026,"10.618,56",,"104,28",,"residential surcharge, disputed"
BRFR,LANE-05,FY2025-W49,05/01/2026,"7.344,29",,"26,41",,
BRFR,LANE-06,FY2025-W49,08/01/2026,"9.002,37",,"123,74",,"lane closed for two days, volume moved"
BRFR,LANE-09,FY2025-W49,10/01/2026,"11.212,89",,"137,79",,
BRFR,LANE-10,FY2025-W49,08/01/2026,"6.169,70",,"48,14",,
BRFR,LANE-11,FY2025-W49,10/01/2026,"11.014,35",,"195,25",,"lane closed for two days, volume moved"
BRFR,LANE-13,FY2025-W49,09/01/2026,"8.623,45",,"315,59",,"re-rated, see ticket SC-1182"
BRFR,LANE-15,FY2025-W49,09/01/2026,"10.334,05",,"236,38",,
BRFR ,LANE-16,FY2025-W49,05/01/2026,"1.550,30",,"182,93",,"residential surcharge, disputed"
BRFR,LANE-18,FY2025-W49,10/01/2026,"8.608,97",,"220,18",,"lane closed for two days, volume moved"
BRFR,LANE-03,FY2025-W50,17/01/2026,"3.434,33",,"116,17",,
BRFR,LANE-04,FY2025-W50,12/01/2026,"4.138,29",,"238,55",,
BRFR,LANE-05,FY2025-W50,12/01/2026,"7.457,13",,"213,45",,"residential surcharge, disputed"
BRFR,LANE-07,FY2025-W50,14/01/2026,"1.424,73",,"157,96",,"residential surcharge, disputed"
BRFR,LANE-08,FY2025-W50,12/01/2026,"9.148,09",,"245,23",,
BRFR,LANE-11,FY2025-W50,12/01/2026,"330,59",,"110,74",,carrier credit applied
BRFR ,LANE-13,FY2025-W50,17/01/2026,"2.056,80",,"239,48",,"lane closed for two days, volume moved"
BRFR,LANE-16,FY2025-W50,13/01/2026,"8.870,32",,"4,33",,
BRFR,LANE-17,FY2025-W50,13/01/2026,"2.450,14",,"10,54",,
BRFR,LANE-20,FY2025-W50,12/01/2026,"10.703,52",,"13,81",,"re-rated, see ticket SC-1182"
BRFR,LANE-01,FY2025-W51,23/01/2026,"11.491,05",,"76,98",,
BRFR,LANE-02,FY2025-W51,23/01/2026,"8.722,04",,"264,37",,"re-rated, see ticket SC-1182"
BRFR,LANE-04,FY2025-W51,24/01/2026,"2.924,89",,"253,19",,
BRFR,LANE-05,FY2025-W51,19/01/2026,"1.460,07",,"150,93",,"residential surcharge, disputed"
BRFR ,LANE-11,FY2025-W51,20/01/2026,"5.912,90",,"53,29",,
BRFR,LANE-14,FY2025-W51,18/01/2026,"5.976,41",,"339,18",,
BRFR,LANE-18,FY2025-W51,22/01/2026,"9.526,42",,"299,84",,
BRFR,LANE-01,FY2025-W52,29/01/2026,"9.026,95",,"68,82",,
BRFR,LANE-02,FY2025-W52,25/01/2026,"10.664,03",,"271,81",,
BRFR,LANE-03,FY2025-W52,26/01/2026,"10.087,74",,"165,80",,"estimate, invoice not received"
BRFR,LANE-05,FY2025-W52,29/01/2026,"8.454,39",,"9,04",,
BRFR,LANE-07,FY2025-W52,25/01/2026,"8.465,86",,"236,92",,
BRFR ,LANE-10,FY2025-W52,26/01/2026,"7.039,54",,"144,49",,
BRFR,LANE-15,FY2025-W52,28/01/2026,"7.333,86",,"314,76",,
BRFR,LANE-17,FY2025-W52,25/01/2026,"6.556,39",,"40,92",,
BRFR,Subtotal,FY2025-P12,,"259.273,29",,"5.772,13",,
PLPC,LANE-15,FY2025-W49,06/01/2026,"7.627,85",,"183,85",,"split shipment, one pallet held at origin"
PLPC,LANE-20,FY2025-W49,07/01/2026,"9.583,15",,"100,69",,
PLPC,LANE-26,FY2025-W49,06/01/2026,"11.368,33",,"215,21",,"re-rated, see ticket SC-1182"
PLPC,LANE-29,FY2025-W49,09/01/2026,"3.228,57",,"189,20",,
PLPC,LANE-31,FY2025-W49,07/01/2026,"2.184,24",,"204,26",,
PLPC,LANE-38,FY2025-W49,10/01/2026,"9.751,75",,"314,10",,carrier credit applied
PLPC,LANE-16,FY2025-W50,15/01/2026,"6.408,91",,"155,64",,"estimate, invoice not received"
PLPC,LANE-20,FY2025-W50,14/01/2026,"9.838,02",,"125,03",,
PLPC,LANE-21,FY2025-W50,16/01/2026,"9.174,58",,"56,94",,"split shipment, one pallet held at origin"
PLPC,LANE-26,FY2025-W50,17/01/2026,"5.657,89",,"108,42",,
PLPC,LANE-27,FY2025-W50,17/01/2026,"5.002,55",,"218,08",,carrier credit applied
PLPC,LANE-31,FY2025-W50,16/01/2026,"10.381,47",,"249,77",,carrier credit applied
PLPC,LANE-33,FY2025-W50,17/01/2026,"1.872,12",,"112,63",,"re-rated, see ticket SC-1182"
PLPC,LANE-35,FY2025-W50,15/01/2026,"7.180,55",,"217,68",,
PLPC,LANE-16,FY2025-W51,23/01/2026,"262,73",,"1,76",,"residential surcharge, disputed"
PLPC,LANE-18,FY2025-W51,24/01/2026,"6.282,07",,"120,97",,"lane closed for two days, volume moved"
PLPC,LANE-19,FY2025-W51,21/01/2026,"1.871,89",,"72,48",,
PLPC,LANE-26,FY2025-W51,20/01/2026,"397,23",,"63,99",,
PLPC,LANE-27,FY2025-W51,22/01/2026,"6.009,81",,"112,37",,
PLPC,LANE-28,FY2025-W51,23/01/2026,"5.198,15",,"225,54",,
PLPC,LANE-29,FY2025-W51,23/01/2026,"8.058,33",,"0,45",,
PLPC,LANE-31,FY2025-W51,21/01/2026,"8.168,43",,"266,05",,
PLPC,LANE-35,FY2025-W51,24/01/2026,"7.872,80",,"149,28",,
PLPC,LANE-38,FY2025-W51,23/01/2026,"2.168,26",,"83,66",,
PLPC,LANE-16,FY2025-W52,30/01/2026,"6.372,69",,"207,44",,"residential surcharge, disputed"
PLPC,LANE-18,FY2025-W52,25/01/2026,"6.416,72",,"184,79",,"estimate, invoice not received"
PLPC,LANE-20,FY2025-W52,27/01/2026,"11.227,51",,"5,56",,
PLPC,LANE-23,FY2025-W52,31/01/2026,"8.461,76",,"6,04",,"lane closed for two days, volume moved"
PLPC,LANE-25,FY2025-W52,26/01/2026,"409,74",,"288,85",,"lane closed for two days, volume moved"
PLPC,LANE-26,FY2025-W52,28/01/2026,"645,28",,"34,90",,
PLPC,LANE-29,FY2025-W52,29/01/2026,"5.745,44",,"240,06",,
PLPC,LANE-31,FY2025-W52,30/01/2026,"10.649,60",,"232,61",,
PLPC,LANE-36,FY2025-W52,30/01/2026,"9.110,47",,"0,59",,"split shipment, one pallet held at origin"
PLPC,LANE-37,FY2025-W52,27/01/2026,"9.166,49",,"88,36",,
PLPC,LANE-38,FY2025-W52,27/01/2026,"3.935,96",,"186,67",,
PLPC,Subtotal,FY2025-P12,,"217.691,34",,"5.023,92",,
MWLG,LANE-25,FY2025-W49,10/01/2026,"8.735,29",,"338,20",,
MWLG,LANE-26,FY2025-W49,10/01/2026,"9.570,09",,"110,36",,"lane closed for two days, volume moved"
MWLG,LANE-27,FY2025-W49,06/01/2026,"8.688,60",,"191,49",,"split shipment, one pallet held at origin"
MWLG,LANE-31,FY2025-W49,09/01/2026,"8.110,69",,"11,68",,
MWLG,LANE-33,FY2025-W49,08/01/2026,"532,58",,"100,22",,
MWLG,LANE-36,FY2025-W49,07/01/2026,"8.438,91",,"98,61",,
MWLG,LANE-37,FY2025-W49,07/01/2026,"10.710,83",,"145,29",,"residential surcharge, disputed"
MWLG,LANE-40,FY2025-W49,09/01/2026,"4.162,04",,"262,96",,
MWLG,LANE-42,FY2025-W49,09/01/2026,"9.259,52",,"74,94",,
MWLG,LANE-44,FY2025-W49,08/01/2026,"6.596,86",,"275,58",,
MWLG,LANE-26,FY2025-W50,15/01/2026,"3.157,67",,"19,31",,
MWLG,LANE-27,FY2025-W50,17/01/2026,"5.093,12",,"55,16",,
MWLG,LANE-30,FY2025-W50,15/01/2026,"8.988,73",,"2,82",,
MWLG,LANE-31,FY2025-W50,12/01/2026,"5.702,02",,"114,29",,
MWLG,LANE-34,FY2025-W50,14/01/2026,"4.803,91",,"265,65",,
MWLG,LANE-35,FY2025-W50,17/01/2026,"9.240,83",,"218,10",,
MWLG,LANE-36,FY2025-W50,16/01/2026,"6.924,50",,"130,78",,"re-rated, see ticket SC-1182"
MWLG,LANE-37,FY2025-W50,15/01/2026,"8.251,32",,"120,79",,
MWLG,LANE-41,FY2025-W50,12/01/2026,"2.564,08",,"126,05",,"re-rated, see ticket SC-1182"
MWLG,LANE-28,FY2025-W51,20/01/2026,"4.315,91",,"106,82",,
MWLG,LANE-30,FY2025-W51,24/01/2026,"10.571,39",,"309,84",,carrier credit applied
MWLG,LANE-33,FY2025-W51,18/01/2026,"4.029,71",,"50,30",,
MWLG,LANE-34,FY2025-W51,19/01/2026,"10.998,96",,"244,90",,
MWLG,LANE-36,FY2025-W51,24/01/2026,"10.385,91",,"3,93",,"estimate, invoice not received"
MWLG,LANE-37,FY2025-W51,20/01/2026,"6.378,03",,"337,98",,
MWLG,LANE-41,FY2025-W51,22/01/2026,"5.455,35",,"299,60",,
MWLG,LANE-43,FY2025-W51,19/01/2026,"8.734,54",,"142,59",,
MWLG,LANE-44,FY2025-W51,24/01/2026,"4.855,62",,"32,98",,
MWLG,LANE-25,FY2025-W52,29/01/2026,"5.833,47",,"217,99",,"residential surcharge, disputed"
MWLG,LANE-27,FY2025-W52,28/01/2026,"7.236,65",,"304,71",,carrier credit applied
MWLG,LANE-29,FY2025-W52,31/01/2026,"2.307,58",,"134,38",,"re-rated, see ticket SC-1182"
MWLG,LANE-30,FY2025-W52,25/01/2026,"6.343,97",,"13,71",,"split shipment, one pallet held at origin"
MWLG,LANE-31,FY2025-W52,30/01/2026,"1.080,83",,"257,21",,
MWLG,LANE-36,FY2025-W52,26/01/2026,"8.544,51",,"144,43",,"re-rated, see ticket SC-1182"
MWLG,LANE-43,FY2025-W52,26/01/2026,"5.721,92",,"172,97",,
MWLG,Subtotal,FY2025-P12,,"232.325,94",,"5.436,62",,
BRFR,LANE-01,FY2026-W01,2026-02-04,7652.47,1058.01,323.57,,
BRFR,LANE-01,FY2026-W01,2026-02-03,8341.40,904.51,215.84,,
BRFR,LANE-02,FY2026-W01,2026-02-04,1352.73,175.21,185.39,,"re-rated, see ticket SC-1182"
BRFR,LANE-02,FY2026-W01,2026-02-03,1169.90,193.78,320.38,,
BRFR,LANE-03,FY2026-W01,2026-02-06,4120.78,715.92,79.13,,
BRFR ,LANE-04,FY2026-W01,2026-02-06,9507.83,1456.23,338.53,,
BRFR,LANE-05,FY2026-W01,2026-02-06,956.61,101.53,153.73,,"re-rated, see ticket SC-1182"
BRFR,LANE-06,FY2026-W01,2026-02-06,4748.62,575.33,191.34,,"re-rated, see ticket SC-1182"
BRFR,LANE-07,FY2026-W01,2026-02-01,4449.53,463.99,124.87,,"lane closed for two days, volume moved"
BRFR,LANE-07,FY2026-W01,2026-02-03,736.81,102.81,5.41,,
BRFR,LANE-08,FY2026-W01,2026-02-04,5031.31,741.58,324.94,,
BRFR,LANE-08,FY2026-W01,2026-02-01,4637.07,538.40,15.87,,
BRFR,LANE-09,FY2026-W01,2026-02-02,3340.09,346.58,301.27,,
BRFR ,LANE-09,FY2026-W01,2026-02-05,5992.59,945.08,128.42,,carrier credit applied
BRFR,LANE-10,FY2026-W01,2026-02-06,7719.49,1361.81,218.79,,"lane closed for two days, volume moved"
BRFR,LANE-11,FY2026-W01,2026-02-06,1254.27,196.19,26.93,,
BRFR,LANE-12,FY2026-W01,2026-02-06,2004.03,299.95,274.58,,"estimate, invoice not received"
BRFR,LANE-12,FY2026-W01,2026-02-01,3107.70,495.80,280.07,,
BRFR,LANE-13,FY2026-W01,2026-02-05,1664.70,293.65,199.24,,
BRFR,LANE-14,FY2026-W01,2026-02-04,3958.99,526.07,212.00,,
BRFR,LANE-14,FY2026-W01,2026-02-07,2607.19,332.69,13.60,,
BRFR ,LANE-15,FY2026-W01,2026-02-05,1197.39,189.69,268.85,,
BRFR,LANE-16,FY2026-W01,2026-02-06,6951.94,702.08,10.55,,
BRFR,LANE-17,FY2026-W01,2026-02-01,8486.44,966.22,287.44,,
BRFR,LANE-18,FY2026-W01,2026-02-01,7106.19,989.60,32.14,,
BRFR,LANE-19,FY2026-W01,2026-02-05,9519.13,1594.85,273.14,,
BRFR,LANE-20,FY2026-W01,2026-02-03,7865.96,1038.57,40.94,,carrier credit applied
BRFR,LANE-01,FY2026-W02,2026-02-13,6666.88,1001.74,309.86,,"lane closed for two days, volume moved"
BRFR,LANE-02,FY2026-W02,2026-02-10,6875.84,1199.11,150.44,,"split shipment, one pallet held at origin"
BRFR ,LANE-03,FY2026-W02,2026-02-12,5991.25,749.88,82.43,,
BRFR,LANE-04,FY2026-W02,2026-02-09,2126.34,251.07,213.12,,carrier credit applied
BRFR,LANE-05,FY2026-W02,2026-02-09,8579.45,1389.74,283.05,,
BRFR,LANE-06,FY2026-W02,2026-02-14,8387.72,869.74,157.75,,
BRFR,LANE-07,FY2026-W02,2026-02-10,5441.07,675.07,110.65,,
BRFR,LANE-08,FY2026-W02,2026-02-12,9425.31,1045.31,290.97,,
BRFR,LANE-09,FY2026-W02,2026-02-10,2470.33,425.28,150.89,,"estimate, invoice not received"
BRFR,LANE-10,FY2026-W02,2026-02-09,4923.01,758.84,45.66,,"estimate, invoice not received"
BRFR ,LANE-11,FY2026-W02,2026-02-14,5480.66,775.31,219.43,,
BRFR,LANE-12,FY2026-W02,2026-02-11,9481.50,1175.09,332.61,,
BRFR,LANE-13,FY2026-W02,2026-02-14,8096.83,1117.43,286.95,,
BRFR,LANE-14,FY2026-W02,2026-02-09,7540.73,833.76,327.75,,"re-rated, see ticket SC-1182"
BRFR,LANE-15,FY2026-W02,2026-02-09,1267.51,151.68,181.16,,"split shipment, one pallet held at origin"
BRFR,LANE-16,FY2026-W02,2026-02-12,3985.40,553.17,217.23,,
BRFR,LANE-16,FY2026-W02,2026-02-10,4457.14,513.14,38.74,,"lane closed for two days, volume moved"
BRFR,LANE-17,FY2026-W02,2026-02-08,8737.00,891.99,234.79,,carrier credit applied
BRFR ,LANE-18,FY2026-W02,2026-02-10,3454.13,425.55,85.00,,
BRFR,LANE-19,FY2026-W02,2026-02-11,8712.86,1201.28,173.65,,
BRFR,LANE-20,FY2026-W02,2026-02-09,6918.14,811.76,107.05,,
BRFR,LANE-01,FY2026-W03,2026-02-20,7544.48,1216.20,118.47,,"residential surcharge, disputed"
BRFR,LANE-02,FY2026-W03,2026-02-21,6199.59,807.81,324.11,,
BRFR,LANE-03,FY2026-W03,2026-02-16,5051.39,609.02,18.79,,"re-rated, see ticket SC-1182"
BRFR,LANE-04,FY2026-W03,2026-02-18,7079.42,1181.99,255.37,,
BRFR,LANE-04,FY2026-W03,2026-02-15,3751.67,426.03,321.22,,
BRFR ,LANE-05,FY2026-W03,2026-02-15,801.21,84.52,279.88,,
BRFR,LANE-06,FY2026-W03,2026-02-16,3093.56,408.75,134.29,,
BRFR,LANE-07,FY2026-W03,2026-02-20,7660.60,1096.14,185.60,,
BRFR,LANE-08,FY2026-W03,2026-02-21,2084.05,294.21,252.21,,"re-rated, see ticket SC-1182"
BRFR,LANE-09,FY2026-W03,2026-02-15,9549.16,1633.36,322.38,,
BRFR,LANE-10,FY2026-W03,2026-02-20,554.65,64.83,135.96,,"split shipment, one pallet held at origin"
BRFR,LANE-11,FY2026-W03,2026-02-20,1364.02,167.85,187.62,,
BRFR,LANE-12,FY2026-W03,2026-02-15,5464.68,726.45,53.91,,
BRFR ,LANE-13,FY2026-W03,2026-02-15,6796.76,993.61,34.12,,
BRFR,LANE-14,FY2026-W03,2026-02-20,9535.95,1334.39,185.82,,
BRFR,LANE-15,FY2026-W03,2026-02-21,557.90,97.24,32.73,,"residential surcharge, disputed"
BRFR,LANE-16,FY2026-W03,2026-02-20,8516.90,1196.40,290.30,,
BRFR,LANE-17,FY2026-W03,2026-02-19,4177.35,664.01,4.77,,
BRFR,LANE-18,FY2026-W03,2026-02-17,4430.13,535.14,80.22,,
BRFR,LANE-19,FY2026-W03,2026-02-15,1883.55,318.72,273.62,,carrier credit applied
BRFR,LANE-19,FY2026-W03,2026-02-17,3888.12,399.10,71.42,,
BRFR ,LANE-20,FY2026-W03,2026-02-21,5566.01,869.33,250.46,,
BRFR,LANE-01,FY2026-W04,2026-02-27,7070.30,823.84,303.20,,
BRFR,LANE-01,FY2026-W04,2026-02-23,3402.62,533.44,200.80,,"re-rated, see ticket SC-1182"
BRFR,LANE-02,FY2026-W04,2026-02-26,1275.32,155.18,76.80,,
BRFR,LANE-03,FY2026-W04,2026-02-23,4783.55,710.61,25.07,,
BRFR,LANE-04,FY2026-W04,2026-02-23,2586.38,445.10,314.49,,
BRFR,LANE-05,FY2026-W04,2026-02-22,8469.64,1452.60,155.20,,
BRFR,LANE-05,FY2026-W04,2026-02-26,3658.28,606.01,0.29,,
BRFR ,LANE-06,FY2026-W04,2026-02-26,4258.54,520.20,317.73,,carrier credit applied
BRFR,LANE-07,FY2026-W04,2026-02-24,3700.95,422.82,80.75,,"split shipment, one pallet held at origin"
BRFR,LANE-08,FY2026-W04,2026-02-28,4193.46,611.25,63.30,,"re-rated, see ticket SC-1182"
BRFR,LANE-09,FY2026-W04,2026-02-24,8043.75,962.39,98.09,,"re-rated, see ticket SC-1182"
BRFR,LANE-09,FY2026-W04,2026-02-24,4081.45,625.83,16.13,,"split shipment, one pallet held at origin"
